postcode	suburb	no_permits	opacity	type	cost_of_works
0	ASHWOOD	7	0.0140	Metropolitan	3303024
3000	MELBOURNE	1187	2.3740	Metropolitan	676218690
3001	MELBOURNE	200	0.4000	Metropolitan	110153986
3002	EAST MELBOURNE	88	0.1760	Metropolitan	21590036
3003	WEST MELBOURNE	86	0.1720	Metropolitan	67718163
3004	MELBOURNE	126	0.2520	Metropolitan	94804405
3006	SOUTH BANK	230	0.4600	Metropolitan	105572249
3008	DOCKLANDS	152	0.3040	Metropolitan	266840661
3011	FOOTSCRAY	328	0.6560	Metropolitan	128246351
3012	BROOKLYN	326	0.6520	Metropolitan	83627996
3013	YARRAVILLE	246	0.4920	Metropolitan	38895356
3015	NEWPORT	320	0.6400	Metropolitan	62124698
3016	WILLIAMSTOWN	332	0.6640	Metropolitan	117646360
3018	ALTONA	243	0.4860	Metropolitan	37073917
3019	BRAYBROOK	128	0.2560	Metropolitan	37309421
3020	ALBION	590	1.1800	Metropolitan	110928815
3021	ALBANVALE	444	0.8880	Metropolitan	134291552
3022	ARDEER	53	0.1060	Metropolitan	5666840
3023	BURNSIDE	1246	2.4920	Metropolitan	281817530
3024	MOUNT COTTRELL	825	1.6500	Metropolitan	161353674
3025	ALTONA EAST	194	0.3880	Metropolitan	41320426
3026	LAVERTON NORTH	64	0.1280	Metropolitan	62540556
3027	WILLIAMS LANDING	311	0.6220	Metropolitan	74938647
3028	ALTONA MEADOWS	219	0.4380	Metropolitan	79096010
3029	Derrimut	2617	5.2340	Metropolitan	515328449
3030	Cairnlea	3460	6.9200	Metropolitan	818963029
3031	FLEMINGTON	206	0.4120	Metropolitan	52211945
3032	ASCOT VALE	461	0.9220	Metropolitan	135478144
3033	KEILOR EAST	198	0.3960	Metropolitan	36196953
3034	AVONDALE HEIGHTS	104	0.2080	Metropolitan	13863081
3036	KEILOR	86	0.1720	Metropolitan	13571101
3037	DELAHEY	585	1.1700	Metropolitan	108808927
3038	KEILOR DOWNS	243	0.4860	Metropolitan	34398646
3039	MOONEE PONDS	228	0.4560	Metropolitan	41768368
3040	ABERFELDIE	467	0.9340	Metropolitan	117986827
3041	ESSENDON FIELDS	237	0.4740	Metropolitan	45813513
3042	AIRPORT WEST	306	0.6120	Metropolitan	67585652
3043	GLADSTONE PARK	203	0.4060	Metropolitan	49138361
3044	Fawkner	398	0.7960	Metropolitan	53646932
3046	GLENROY	464	0.9280	Metropolitan	69008705
3047	BROADMEADOWS	249	0.4980	Metropolitan	77452040
3048	COOLAROO	106	0.2120	Metropolitan	9082627
3049	ATTWOOD	145	0.2900	Metropolitan	31273704
3051	NORTH MELBOURNE	196	0.3920	Metropolitan	68625057
3052	PARKVILLE	128	0.2560	Metropolitan	89521304
3053	CARLTON	184	0.3680	Metropolitan	149458976
3054	CARLTON NORTH	97	0.1940	Metropolitan	19090394
3055	BRUNSWICK WEST	113	0.2260	Metropolitan	35549045
3056	BRUNSWICK	357	0.7140	Metropolitan	127078976
3057	BRUNSWICK EAST	96	0.1920	Metropolitan	37789606
3058	COBURG	426	0.8520	Metropolitan	73648571
3059	GREENVALE	193	0.3860	Metropolitan	23477792
3060	FAWKNER	108	0.2160	Metropolitan	25996844
3061	Cambellfield	84	0.1680	Metropolitan	35610258
3062	SOMERTON	15	0.0300	Metropolitan	3247378
3063	OAKLANDS JUNCTION	12	0.0240	Metropolitan	1164634
3064	Cragieburn	1344	2.6880	Metropolitan	324230064
3065	FITZROY	160	0.3200	Metropolitan	93671862
3066	COLLINGWOOD	132	0.2640	Metropolitan	48058606
3067	ABBOTSFORD	117	0.2340	Metropolitan	48059394
3068	CLIFTON HILL	246	0.4920	Metropolitan	75673380
3069	Keysborough	1	0.0020	Metropolitan	250463
3070	NORTHCOTE	361	0.7220	Metropolitan	91789454
3071	THORNBURY	225	0.4500	Metropolitan	44908931
3072	East Preston	464	0.9280	Metropolitan	104801391
3073	KEON PARK	571	1.1420	Metropolitan	112125654
3074	THOMASTOWN	134	0.2680	Metropolitan	32347953
3075	LALOR	408	0.8160	Metropolitan	91553183
3076	EPPING	920	1.8400	Metropolitan	282311450
3078	ALPHINGTON	193	0.3860	Metropolitan	37338780
3079	IVANHOE	265	0.5300	Metropolitan	52467134
3081	BELLFIELD	178	0.3560	Metropolitan	25428051
3082	MILL PARK	203	0.4060	Metropolitan	26810269
3083	BUNDOORA	442	0.8840	Metropolitan	175026458
3084	EAGLEMONT	383	0.7660	Metropolitan	120482817
3085	MACLEOD	184	0.3680	Metropolitan	45416303
3086	LA TROBE UNIVERSITY	2	0.0040	Metropolitan	25000
3087	WATSONIA	89	0.1780	Metropolitan	10545519
3088	BRIAR HILL	326	0.6520	Metropolitan	81849338
3089	DIAMOND CREEK	184	0.3680	Metropolitan	31703306
3090	PLENTY	81	0.1620	Metropolitan	16256456
3091	YARRAMBAT	39	0.0780	Metropolitan	6084321
3093	LOWER PLENTY	51	0.1020	Metropolitan	9942268
3094	MONTMORENCY	114	0.2280	Metropolitan	17048049
3095	ELTHAM	376	0.7520	Metropolitan	49485388
3096	WATTLE GLEN	24	0.0480	Metropolitan	4372394
3097	BEND OF ISLANDS	35	0.0700	Metropolitan	6373265
3099	ARTHURS CREEK	93	0.1860	Metropolitan	12871329
3101	KEW	505	1.0100	Metropolitan	145207820
3102	Balwyn	131	0.2620	Metropolitan	23346804
3103	BALWYN	326	0.6520	Metropolitan	104612156
3104	BALWYN NORTH	427	0.8540	Metropolitan	95186411
3105	BULLEEN	122	0.2440	Metropolitan	22604696
3106	TEMPLESTOWE	170	0.3400	Metropolitan	33662375
3107	LOWER TEMPLESTOWE	137	0.2740	Metropolitan	24957813
3108	DONCASTER	263	0.5260	Metropolitan	133742521
3109	DONCASTER EAST	284	0.5680	Metropolitan	45330302
3110	MITCHAM	2	0.0040	Metropolitan	10566
3111	DONVALE	146	0.2920	Metropolitan	25306500
3113	NORTH WARRANDYTE	128	0.2560	Metropolitan	15528884
3114	PARK ORCHARDS	75	0.1500	Metropolitan	15718734
3115	WONGA PARK	73	0.1460	Metropolitan	8020128
3116	CHIRNSIDE PARK	136	0.2720	Metropolitan	18789382
3121	BURNLEY	486	0.9720	Metropolitan	173576042
3122	HAWTHORN	389	0.7780	Metropolitan	201488375
3123	AUBURN	196	0.3920	Metropolitan	64058742
3124	CAMBERWELL	424	0.8480	Metropolitan	84083455
3125	BURWOOD	251	0.5020	Metropolitan	96930066
3126	CANTERBURY	181	0.3620	Metropolitan	61617634
3127	MONT ALBERT	346	0.6920	Metropolitan	78009000
3128	BOX HILL	372	0.7440	Metropolitan	103924760
3129	BOX HILL NORTH	239	0.4780	Metropolitan	39907902
