postcode	suburb	no_permits	opacity	cost_of_works
0	ARMSTRONG CREEK	4	0.0036	710120
3000	MELBOURNE	877	0.7973	1207191483
3001	MELBOURNE	89	0.0809	119177515
3002	EAST MELBOURNE	61	0.0555	11356897
3003	WEST MELBOURNE	53	0.0482	49749934
3004	MELBOURNE	95	0.0864	35063406
3006	SOUTH WHARF	132	0.1200	257584492
3008	DOCKLANDS	104	0.0945	253316502
3010	UNIVERSITY OF MELBOURNE	1	0.0009	80000
3011	FOOTSCRAY	193	0.1755	194969192
3012	BROOKLYN	242	0.2200	55515078
3013	YARRAVILLE	183	0.1664	24227863
3015	NEWPORT	199	0.1809	32837506
3016	WILLIAMSTOWN	181	0.1645	33870984
3018	ALTONA	153	0.1391	40929495
3019	BRAYBROOK	64	0.0582	15273134
3020	ALBION	342	0.3109	84830959
3021	ALBANVALE	238	0.2164	25793724
3022	ARDEER	24	0.0218	28888248
3023	BURNSIDE	374	0.3400	107102044
3024	MOUNT COTTRELL	222	0.2018	39621541
3025	ALTONA EAST	135	0.1227	28418895
3026	LAVERTON NORTH	44	0.0400	29220404
3027	WILLIAMS LANDING	181	0.1645	67362266
3028	ALTONA MEADOWS	134	0.1218	77049370
3029	HOPPERS CROSSING	955	0.8682	293803107
3030	DERRIMUT	1036	0.9418	261620695
3031	FLEMINGTON	106	0.0964	22773303
3032	ASCOT VALE	350	0.3182	92126002
3033	KEILOR EAST	142	0.1291	43290699
3034	AVONDALE HEIGHTS	85	0.0773	13207371
3036	KEILOR	45	0.0409	5449141
3037	DELAHEY	317	0.2882	43590145
3038	KEILOR DOWNS	147	0.1336	13326203
3039	MOONEE PONDS	171	0.1555	29755016
3040	ABERFELDIE	295	0.2682	89377036
3041	ESSENDON FIELDS	132	0.1200	23077462
3042	AIRPORT WEST	207	0.1882	39318348
3043	GLADSTONE PARK	128	0.1164	26513226
3044	PASCOE VALE	269	0.2445	46695911
3046	GLENROY	290	0.2636	45389002
3047	BROADMEADOWS	159	0.1445	63782335
3048	COOLAROO	79	0.0718	10668292
3049	ATTWOOD	43	0.0391	7694125
3050	ROYAL MELBOURNE HOSPITAL	1	0.0009	9000
3051	NORTH MELBOURNE	66	0.0600	17277501
3052	PARKVILLE	75	0.0682	172052751
3053	CARLTON	138	0.1255	206234590
3054	CARLTON NORTH	71	0.0645	11722610
3055	BRUNSWICK WEST	84	0.0764	18557572
3056	BRUNSWICK	229	0.2082	55702978
3057	BRUNSWICK EAST	80	0.0727	124938883
3058	COBURG	386	0.3509	76541483
3059	GREENVALE	309	0.2809	64454070
3060	FAWKNER	91	0.0827	12227763
3061	CAMPBELLFIELD	61	0.0555	19860494
3062	SOMERTON	9	0.0082	3425300
3063	OAKLANDS JUNCTION	6	0.0055	92700
3064	CRAIGIEBURN	1020	0.9273	278292866
3065	FITZROY	133	0.1209	42497522
3066	COLLINGWOOD	86	0.0782	21916170
3067	ABBOTSFORD	110	0.1000	204003260
3068	CLIFTON HILL	180	0.1636	44016238
3070	NORTHCOTE	264	0.2400	55693214
3071	THORNBURY	173	0.1573	25683663
3072	PRESTON	321	0.2918	71685301
3073	KEON PARK	347	0.3155	58052017
3074	THOMASTOWN	87	0.0791	19723545
3075	LALOR	181	0.1645	30770862
3076	EPPING	292	0.2655	100675868
3078	ALPHINGTON	135	0.1227	32300687
3079	IVANHOE	197	0.1791	45669270
3081	BELLFIELD	140	0.1273	24667305
3082	MILL PARK	130	0.1182	17193598
3083	BUNDOORA	287	0.2609	62760371
3084	EAGLEMONT	227	0.2064	49899644
3085	MACLEOD	86	0.0782	9252032
3087	WATSONIA	51	0.0464	6288759
3088	BRIAR HILL	211	0.1918	20373566
3089	DIAMOND CREEK	105	0.0955	10080820
3090	PLENTY	34	0.0309	9254354
3091	YARRAMBAT	18	0.0164	1675909
3093	LOWER PLENTY	35	0.0318	6225752
3094	MONTMORENCY	71	0.0645	12247302
3095	ELTHAM	250	0.2273	29595972
3096	WATTLE GLEN	10	0.0091	414180
3097	BEND OF ISLANDS	24	0.0218	3438759
3099	ARTHURS CREEK	43	0.0391	7032584
3101	KEW	364	0.3309	164922283
3102	KEW EAST	72	0.0655	15254288
3103	BALWYN	223	0.2027	73370869
3104	BALWYN NORTH	240	0.2182	39982452
3105	BULLEEN	83	0.0755	19589313
3106	TEMPLESTOWE	105	0.0955	28101106
3107	TEMPLESTOWE LOWER	86	0.0782	18343475
3108	DONCASTER	147	0.1336	55316397
3109	DONCASTER EAST	141	0.1282	25786061
3111	DONVALE	95	0.0864	29762352
3113	NORTH WARRANDYTE	78	0.0709	8316423
3114	PARK ORCHARDS	50	0.0455	8560743
3115	WONGA PARK	30	0.0273	3305384
3116	CHIRNSIDE PARK	87	0.0791	14101418
3121	BURNLEY	365	0.3318	165946961
3122	HAWTHORN	240	0.2182	110892498
3123	HAWTHORN EAST	156	0.1418	47963189
3124	CAMBERWELL	310	0.2818	103658457
3125	BURWOOD	160	0.1455	116505419
3126	CANTERBURY	121	0.1100	36578485
3127	MONT ALBERT	226	0.2055	41759338
3128	BOX HILL	242	0.2200	106501141
3129	BOX HILL NORTH	155	0.1409	32866154
3130	BLACKBURN	406	0.3691	57396962
3131	FOREST HILL	246	0.2236	39029857
3132	MITCHAM	167	0.1518	36240338
3133	VERMONT	149	0.1355	74815400
3134	RINGWOOD	352	0.3200	87242537
3135	HEATHMONT	222	0.2018	30750082
3136	CROYDON	460	0.4182	79990071
3137	KILSYTH	127	0.1155	13599168
3138	MOOROOLBARK	200	0.1818	21230264
3139	BEENAK	117	0.1064	10934367
3140	LILYDALE	195	0.1773	70494748
3141	SOUTH YARRA	208	0.1891	170588420
3142	TOORAK	159	0.1445	94793991
3143	ARMADALE	89	0.0809	23721717
3144	KOOYONG	156	0.1418	52870367
3145	CAULFIELD EAST	241	0.2191	49996185
3146	GLEN IRIS	258	0.2345	57027579
3147	ASHBURTON	200	0.1818	36929011
3148	CHADSTONE	103	0.0936	21000443
3149	MOUNT WAVERLEY	321	0.2918	63371480
3150	GLEN WAVERLEY	519	0.4718	136809838
3151	BURWOOD EAST	89	0.0809	13200686
3152	WANTIRNA	249	0.2264	38637617
3153	BAYSWATER	175	0.1591	44242753
3154	THE BASIN	29	0.0264	7105470
3155	BORONIA	173	0.1573	35443603
3156	FERNTREE GULLY	306	0.2782	31768866
3158	UPWEY	52	0.0473	3526627
3159	MENZIES CREEK	20	0.0182	943305
3160	BELGRAVE	92	0.0836	9099620
3161	CAULFIELD NORTH	111	0.1009	33733296
3162	CAULFIELD	166	0.1509	53825197
3163	CARNEGIE	214	0.1945	50073469
3164	DANDENONG SOUTH	10	0.0091	15538000
3165	BENTLEIGH EAST	274	0.2491	54696049
3166	HUGHESDALE	222	0.2018	39530682
3167	OAKLEIGH SOUTH	81	0.0736	25053580
3168	CLAYTON	179	0.1627	102735780
3169	CLARINDA	99	0.0900	12685635
3170	MULGRAVE	193	0.1755	43251785
3171	SPRINGVALE	136	0.1236	28734527
3172	DINGLEY VILLAGE	124	0.1127	8436446
3173	KEYSBOROUGH	247	0.2245	68716175
3174	NOBLE PARK	186	0.1691	33459725
3175	BANGHOLME	345	0.3136	175582634
3177	DOVETON	83	0.0755	12090643
3178	ROWVILLE	214	0.1945	30556250
3179	SCORESBY	46	0.0418	4121460
3180	KNOXFIELD	68	0.0618	12184430
3181	PRAHRAN	154	0.1400	103176164
3182	ST KILDA	154	0.1400	47127120
3183	BALACLAVA	100	0.0909	14960035
3184	ELWOOD	129	0.1173	23970538
3185	ELSTERNWICK	122	0.1109	27340605
3186	BRIGHTON	322	0.2927	183847333
3187	BRIGHTON EAST	167	0.1518	33844459
3188	HAMPTON	229	0.2082	46933856
3189	MOORABBIN	72	0.0655	9969920
3190	HIGHETT	96	0.0873	44015054
3191	SANDRINGHAM	116	0.1055	44830484
3192	CHELTENHAM	223	0.2027	103410234
3193	BEAUMARIS	258	0.2345	59797332
3194	MENTONE	115	0.1045	24950192
3195	ASPENDALE	333	0.3027	49713371
3196	BONBEACH	197	0.1791	24121033
3197	CARRUM	76	0.0691	10743836
3198	SEAFORD	116	0.1055	13665136
3199	FRANKSTON	401	0.3645	129739852
3200	FRANKSTON NORTH	17	0.0155	1499083
3201	CARRUM DOWNS	161	0.1464	34646695
3202	HEATHERTON	9	0.0082	4108174
3204	BENTLEIGH	363	0.3300	70445859
3205	SOUTH MELBOURNE	151	0.1373	45693295
3206	ALBERT PARK	144	0.1309	32314540
3207	PORT MELBOURNE	170	0.1545	71872325
3211	LITTLE RIVER	20	0.0182	1623276
3212	AVALON	220	0.2000	23729194
3214	CORIO	184	0.1673	37021363
3215	BELL PARK	227	0.2064	45538649
3216	BELMONT	774	0.7036	147336247
3217	ARMSTRONG CREEK	245	0.2227	55297517
3218	GEELONG WEST	185	0.1682	23967543
3219	BREAKWATER	188	0.1709	18008648
3220	GEELONG	336	0.3055	138861511
3221	ANAKIE	134	0.1218	32044188
3222	CLIFTON SPRINGS	248	0.2255	39432845
3223	INDENTED HEAD	174	0.1582	31040986
3224	LEOPOLD	251	0.2282	29917880
3225	POINT LONSDALE	120	0.1091	23268989
3226	OCEAN GROVE	293	0.2664	56713412
3227	BARWON HEADS	166	0.1509	33905805
3228	BELLBRAE	354	0.3218	62733059
3230	ANGLESEA	84	0.0764	15476861
3231	AIREYS INLET	44	0.0400	11063674
3232	LORNE	40	0.0364	9392482
3233	APOLLO BAY	49	0.0445	6070065
3235	BOONAH	8	0.0073	1639885
3236	FORREST	3	0.0027	14420
3237	BEECH FOREST	1	0.0009	178000
3238	GLENAIRE	5	0.0045	508132
3239	GELLIBRAND	5	0.0045	335352
3240	BUCKLEY	34	0.0309	3066957
3241	BAMBRA	35	0.0318	2456115
3242	BIRREGURRA	23	0.0209	1615647
3243	BARWON DOWNS	6	0.0055	417986
3249	BARONGAROOK	38	0.0345	4277625
3250	BEEAC	132	0.1200	13209152
3251	BEEAC	4	0.0036	49890
3254	COROROOKE	3	0.0027	229950
3260	BOOKAAR	52	0.0473	3961554
3264	TERANG	20	0.0182	1250054
3265	BOORCAN	17	0.0155	1744585
3266	COBDEN	30	0.0273	1596965
3267	SCOTTS CREEK	1	0.0009	11000
3268	AYRFORD	26	0.0236	1938822
3269	PORT CAMPBELL	15	0.0136	547150
3270	PETERBOROUGH	9	0.0082	1527839
3271	DARLINGTON	2	0.0018	105001
3272	MORTLAKE	22	0.0200	1699421
3274	CARAMUT	7	0.0064	517769
3275	MAILORS FLAT	11	0.0100	1425662
3276	WOOLSTHORPE	3	0.0027	265000
3277	ALLANSFORD	29	0.0264	3798792
3278	PURNIM	3	0.0027	157605
3279	BALLANGEICH	2	0.0018	71880
3280	DENNINGTON	307	0.2791	51627014
3281	BUSHFIELD	28	0.0255	2221087
3282	ILLOWA	38	0.0345	4251857
3283	CROSSLEY	20	0.0182	2362122
3284	ORFORD	51	0.0464	9056003
3285	NARRAWONG	18	0.0164	2626551
3286	MACARTHUR	4	0.0036	69992
3287	HAWKESDALE	5	0.0045	345200
3289	PENSHURST	12	0.0109	713105
3292	NELSON	7	0.0064	435555
3293	GLENTHOMPSON	2	0.0018	35000
3294	DUNKELD	23	0.0209	1996306
3300	BYADUK NORTH	170	0.1545	17435060
3301	BROADWATER	16	0.0145	1863834
3302	BRANXHOLME	1	0.0009	11000
3303	Dunrobin	2	0.0018	23968
3304	BESSIEBELLE	31	0.0282	2578656
3305	ALLESTREE	157	0.1427	11365933
3310	MERINO	2	0.0018	37992
3311	CASTERTON	16	0.0145	838329
3312	DERGHOLM	6	0.0055	380601
3314	BULART	7	0.0064	832289
3315	COLERAINE	14	0.0127	505282
3317	HARROW	1	0.0009	300000
3318	EDENHOPE	7	0.0064	246017
3319	APSLEY	3	0.0027	39247
3321	INVERLEIGH	37	0.0336	3737876
3322	CRESSY	3	0.0027	172804
3323	DUVERNEY	2	0.0018	343900
3324	LISMORE	6	0.0055	413525
3325	DERRINALLUM	10	0.0091	790794
3328	TEESDALE	40	0.0364	5226769
3329	SHELFORD	3	0.0027	641889
3330	ROKEWOOD	3	0.0027	107386
3331	BANNOCKBURN	138	0.1255	14616833
3332	LETHBRIDGE	16	0.0145	1342225
3333	BAMGANIE	13	0.0118	988519
3334	BUNGAL	7	0.0064	1002040
3335	PLUMPTON	284	0.2582	59784331
3337	KURUNJANG	405	0.3682	125178385
3338	BROOKFIELD	343	0.3118	60736128
3340	BACCHUS MARSH	305	0.2773	42736056
3341	DALES CREEK	15	0.0136	1411957
3342	BALLAN	60	0.0545	11584563
3345	GORDON	26	0.0236	3151069
3350	ALFREDTON	716	0.6509	122417097
3351	BERRINGA	128	0.1164	11242178
3352	BOLWARRAH	255	0.2318	38831773
3353	BALLARAT	49	0.0445	5690454
3355	LAKE GARDENS	113	0.1027	18253514
3356	DELACOMBE	247	0.2245	44528306
3357	BUNINYONG	58	0.0527	8090910
3360	HAPPY VALLEY	7	0.0064	123259
3361	SKIPTON	2	0.0018	185325
3363	CRESWICK	45	0.0409	5094973
3364	ALLENDALE	38	0.0345	3603196
3370	CLUNES	28	0.0255	2092862
3371	AMHERST	13	0.0118	461541
3373	BEAUFORT	56	0.0509	11886947
3374	GREAT WESTERN	5	0.0045	448160
3375	BALLYROGAN	2	0.0018	71425
3377	ARARAT	124	0.1127	202435767
3378	TATYOON	2	0.0018	476294
3379	CHATSWORTH	6	0.0055	309005
3380	STAWELL	65	0.0591	7422637
3381	BELLELLEN	32	0.0291	3672122
3384	BARKLY	5	0.0045	520394
3385	DADSWELLS BRIDGE	5	0.0045	751401
3387	CALLAWADDA	3	0.0027	223000
3388	RUPANYUP	10	0.0091	844784
3390	MURTOA	9	0.0082	343735
3392	MINYIP	5	0.0045	565517
3393	WARRACKNABEAL	34	0.0309	2423071
3395	BEULAH	3	0.0027	546455
3396	HOPETOUN	14	0.0127	1536944
3400	HORSHAM	205	0.1864	35576610
3401	BRIMPAEN	66	0.0600	13564146
3402	HORSHAM	8	0.0073	2624686
3407	BALMORAL	4	0.0036	194197
3409	ARAPILES	10	0.0091	663177
3412	GOROKE	6	0.0055	48835
3413	NEUARPURR	1	0.0009	25000
3414	DIMBOOLA	14	0.0127	579236
3418	BROUGHTON	41	0.0373	3115903
3419	KANIVA	11	0.0100	584949
3420	SERVICETON	2	0.0018	192713
3423	JEPARIT	5	0.0045	77500
3424	RAINBOW	7	0.0064	325058
3427	DIGGERS REST	19	0.0173	2165997
3428	BULLA	9	0.0082	6495149
3429	SUNBURY	361	0.3282	55592204
3430	CLARKEFIELD	1	0.0009	3600
3431	RIDDELLS CREEK	73	0.0664	4725243
3432	BOLINDA	3	0.0027	300000
3434	ROMSEY	59	0.0536	7092218
3435	BENLOCH	48	0.0436	5388288
3437	BULLENGAROOK	205	0.1864	35296154
3438	NEW GISBORNE	23	0.0209	3080798
3440	MACEDON	17	0.0155	3870548
3441	MOUNT MACEDON	16	0.0145	1967787
3442	ASHBOURNE	105	0.0955	19859974
3444	BARFOLD	168	0.1527	19311484
3446	DRUMMOND NORTH	22	0.0200	40903215
3447	TARADALE	4	0.0036	181530
3448	ELPHINSTONE	14	0.0127	2340901
3450	CASTLEMAINE	131	0.1191	72150912
3451	BARKERS CREEK	89	0.0809	7851138
3453	HARCOURT	24	0.0218	3163657
3458	BLACKWOOD	61	0.0555	8878737
3460	DAYLESFORD	55	0.0500	5351215
3461	BULLARTO	88	0.0800	10467545
3462	MUCKLEFORD SOUTH	20	0.0182	1771918
3463	BARINGHUP	30	0.0273	2968790
3464	CARISBROOK	21	0.0191	1303149
3465	ALMA	127	0.1155	15820955
3467	AVOCA	19	0.0173	814451
3468	AMPHITHEATRE	5	0.0045	416132
3469	ELMHURST	3	0.0027	830500
3472	BET BET	32	0.0291	545152
3475	BEALIBA	4	0.0036	169820
3477	CARAPOOEE WEST	8	0.0073	722661
3478	MOONAMBEL	32	0.0291	2774488
3480	CARRON	31	0.0282	1780183
3482	MORTON PLAINS	2	0.0018	2700
3483	BALLAPUR	28	0.0255	1983210
3485	BANYAN	4	0.0036	128924
3488	TURRIFF EAST	1	0.0009	34595
3490	OUYEN	20	0.0182	6162230
3491	PATCHEWOLLOCK	1	0.0009	489858
3494	COLIGNAN	5	0.0045	241900
3496	CARDROSS	79	0.0718	5822822
3498	IRYMPLE	78	0.0709	8201341
3500	MILDURA	196	0.1782	22150162
