permit_date	works_total	postcodes	permits
2010-01-01	237739	3072,3136,3178,3722,3796,3808	6
2010-01-02	2529101	3122,3169,3260,3501,3555,3072,3104	9
2010-01-03	335000	3060,3713	2
2010-01-04	29014556	3012,3037,3076,3113,3131,3153,3205,3340,3409,3549,3666,3747,3941,3013,3038,3079,3116,3140,3155,3216,3342,3429,3550,3675,3765,3943,3021,3044,3088,3121,3141,3156,3218,3350,3435,3551,3678,3786,3977,3023,3051,3090,3122,3144,3163,3223,3351,3437,3555,3687,3799,	145
2010-01-05	32629870	3024,3072,3101,3136,3168,3198,3218,3305,3396,3550,3691,3775,3930,3026,3073,3107,3146,3173,3199,3221,3311,3427,3551,3714,3777,3934,3029,3076,3108,3148,3184,3201,3223,3340,3429,3555,3717,3779,3939,3030,3082,3121,3149,3185,3204,3224,3350,3458,3556,3720,3783,	159
2010-01-06	19597169	3024,3046,3083,3109,3138,3171,3204,3230,3352,3550,3677,3756,3875,3977,3027,3056,3084,3122,3139,3173,3205,3300,3355,3551,3683,3764,3903,3978,3028,3057,3087,3126,3140,3174,3215,3305,3356,3555,3690,3783,3911,8626,3029,3059,3088,3127,3145,3180,3216,3319,3465,	149
2010-01-07	30579865	3029,3082,3116,3141,3178,3222,3400,3533,3641,3753,3810,3030,3085,3128,3145,3179,3225,3409,3550,3685,3764,3844,3038,3089,3132,3146,3183,3226,3429,3551,3690,3766,3909,3012,3046,3093,3133,3150,3192,3240,3450,3556,3691,3778,3930,3015,3060,3101,3134,3152,3196,	138
2010-01-08	20611092	3016,3049,3108,3146,3174,3198,3223,3337,3550,3678,3752,3995,3020,3064,3115,3149,3175,3201,3226,3350,3551,3690,3756,3996,3024,3070,3122,3150,3181,3212,3228,3352,3555,3697,3806,8622,3029,3074,3131,3155,3186,3214,3300,3400,3579,3699,3898,3030,3087,3134,3162,	142
2010-01-09	494960	3141,3187,3194,3677	5
2010-01-10	234673	3730,3840,3844,3095	5
2010-01-11	66775865	3013,3030,3043,3060,3079,3104,3128,3138,3146,3163,3178,3195,3211,3224,3305,3357,3477,3629,3690,3749,3765,3812,3875,3934,3975,3016,3031,3044,3064,3083,3108,3129,3139,3148,3165,3186,3196,3212,3226,3331,3380,3496,3630,3691,3752,3775,3814,3912,3936,3976,3021,	323
2010-01-12	49581515	3011,3029,3048,3070,3088,3115,3130,3142,3154,3178,3192,3212,3225,3265,3338,3424,3564,3658,3707,3761,3803,3821,3909,3934,3981,3012,3030,3051,3073,3089,3116,3131,3144,3155,3182,3193,3214,3226,3266,3340,3429,3579,3666,3711,3763,3805,3822,3910,3936,3988,3013,	367
2010-01-13	101402323	3013,3026,3046,3070,3089,3116,3133,3145,3161,3183,3196,3216,3228,3337,3400,3465,3564,3631,3690,3757,3806,3844,3927,3950,3996,3015,3027,3049,3072,3095,3122,3134,3146,3162,3186,3198,3219,3231,3338,3401,3467,3579,3634,3691,3763,3807,3875,3934,3959,3016,3029,	369
2010-01-14	73701854	3018,3032,3056,3073,3106,3124,3134,3150,3173,3190,3220,3250,3331,3356,3435,3498,3585,3672,3730,3756,3803,3820,3860,3925,3977,3000,3021,3038,3058,3074,3107,3125,3135,3153,3175,3193,3222,3272,3337,3363,3437,3500,3612,3677,3737,3757,3804,3825,3862,3931,3981,	418
2010-01-15	70064564	3020,3034,3051,3070,3088,3116,3130,3145,3162,3179,3191,3206,3231,3333,3429,3498,3585,3677,3738,3764,3808,3824,3875,3930,3960,3023,3037,3052,3071,3091,3122,3133,3147,3165,3181,3192,3212,3232,3340,3434,3500,3586,3682,3740,3765,3809,3825,3904,3934,3971,3024,	371
2010-01-16	1891938	3167,3195,3356,3677,3722,3723,3024,3791,3030,3995	14
2010-01-17	1122113	3021,3937,3064,3075,3161,3328,3334,3350,3352	10
2010-01-18	55874989	3016,3027,3040,3053,3070,3087,3109,3130,3146,3156,3171,3184,3198,3216,3243,3340,3460,3552,3660,3754,3810,3860,3930,3953,3000,3018,3028,3042,3055,3071,3088,3111,3136,3147,3158,3172,3185,3199,3218,3280,3350,3465,3555,3664,3757,3815,3875,3931,3975,3002,3019,	388
2010-01-19	91838365	3714,3775,3820,3910,3934,3981,3011,3024,3033,3053,3075,3095,3123,3136,3149,3166,3178,3195,3212,3228,3338,3424,3500,3556,3635,3717,3804,3824,3918,3939,3984,3012,3025,3034,3054,3076,3101,3126,3137,3150,3168,3181,3196,3215,3233,3350,3429,3501,3561,3658,3740,	392
2010-01-20	77895392	3015,3031,3044,3065,3083,3108,3128,3141,3151,3166,3180,3192,3214,3227,3328,3352,3429,3500,3620,3677,3741,3805,3825,3909,3930,3960,3016,3032,3046,3068,3084,3109,3129,3143,3152,3169,3181,3193,3215,3228,3331,3355,3437,3505,3629,3685,3747,3806,3844,3910,3931,	430
2010-01-21	72319689	3008,3024,3037,3052,3068,3079,3103,3128,3139,3151,3172,3185,3196,3212,3225,3300,3357,3438,3502,3559,3630,3678,3730,3777,3810,3844,3930,3975,3011,3027,3038,3055,3070,3081,3105,3130,3140,3153,3173,3186,3197,3215,3226,3331,3377,3442,3505,3561,3635,3683,3737,	440
2010-01-22	113065174	3000,3019,3030,3044,3057,3067,3079,3104,3125,3141,3151,3173,3188,3204,3220,3250,3338,3429,3505,3629,3690,3796,3816,3860,3916,3953,3996,3003,3020,3031,3046,3058,3068,3083,3106,3126,3142,3165,3174,3192,3206,3223,3280,3340,3437,3550,3630,3691,3803,3818,3862,	440
2010-01-23	1504877	3149,3011,3150,3023,3280,3025,3305,3030,3429,3064,3435,3073,3806,3145	14
2010-01-24	1807460	3072,3328,3073,3331,3099,3337,3128,3350,3214,3977,3219,3250,3025,3305	15
2010-01-25	58124430	3016,3029,3044,3064,3078,3108,3133,3154,3175,3192,3216,3241,3338,3427,3502,3614,3683,3747,3805,3844,3953,3020,3030,3046,3065,3081,3121,3134,3155,3179,3193,3218,3250,3340,3429,3521,3620,3685,3752,3806,3850,3971,3496,3021,3037,3047,3068,3084,3122,3138,3156,	320
2010-01-26	2242753	3000,3167,3356,3011,3216,3401,3083,3224,3691,3089,3280,3754,3150,3331,3976,3153,3350,3163,3352,3166,3355	30
2010-01-27	66667137	3012,3024,3039,3051,3071,3084,3107,3126,3134,3147,3170,3181,3190,3204,3222,3269,3338,3429,3500,3629,3730,3763,3806,3850,3931,3965,8785,3013,3029,3040,3058,3072,3088,3108,3127,3136,3148,3171,3182,3192,3211,3225,3272,3340,3431,3523,3630,3737,3764,3810,3851,	387
2010-01-28	82633911	3026,3042,3055,3070,3084,3105,3124,3136,3150,3166,3180,3195,3216,3228,3304,3356,3438,3550,3616,3649,3690,3754,3781,3818,3853,3926,3977,3000,3028,3043,3056,3072,3088,3106,3125,3138,3153,3168,3181,3196,3220,3231,3335,3371,3444,3551,3629,3658,3691,3756,3782,	444
2010-01-29	140472997	3013,3023,3033,3047,3068,3081,3099,3114,3129,3137,3147,3156,3171,3186,3205,3220,3282,3350,3401,3465,3561,3666,3714,3756,3782,3815,3851,3912,3946,3015,3024,3037,3051,3070,3082,3101,3121,3130,3138,3148,3161,3172,3190,3206,3222,3284,3351,3429,3496,3564,3672,	542
2010-01-30	2714363	3011,3136,3024,3153,3029,3170,3032,3216,3041,3228,3085,3756,3125,3810,3127,3977	19
2010-01-31	562364	3000,3216,3219,3280,3754,3844	6
2010-02-01	92629361	3011,3025,3039,3057,3072,3083,3106,3127,3135,3145,3156,3168,3180,3189,3200,3215,3228,3305,3356,3462,3550,3632,3722,3763,3806,3825,3904,3926,3943,3995,3015,3026,3041,3058,3073,3084,3108,3128,3136,3146,3158,3169,3181,3193,3201,3216,3230,3332,3429,3496,3551,	464
2010-02-02	91568075	3020,3032,3047,3059,3074,3094,3110,3130,3141,3167,3182,3196,3218,3241,3305,3351,3435,3551,3631,3691,3756,3804,3825,3873,3930,3944,3021,3036,3051,3063,3075,3095,3121,3131,3144,3169,3183,3197,3219,3242,3310,3352,3461,3552,3636,3730,3757,3805,3844,3875,3931,	448
2010-02-03	123047926	3000,3020,3031,3048,3070,3084,3102,3122,3132,3145,3156,3171,3186,3204,3219,3280,3341,3400,3458,3555,3658,3752,3781,3809,3842,3910,3941,3001,3021,3034,3055,3072,3088,3103,3123,3136,3146,3160,3172,3188,3206,3220,3284,3350,3429,3461,3564,3677,3754,3782,3810,	466
2010-02-04	93405630	3004,3023,3038,3051,3065,3079,3097,3111,3128,3136,3146,3158,3174,3189,3212,3228,3331,3364,3465,3550,3614,3676,3749,3787,3824,3860,3931,3977,3008,3024,3039,3052,3066,3081,3099,3114,3129,3137,3147,3162,3175,3192,3214,3230,3337,3427,3467,3551,3631,3677,3752,	432
